new_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,url
Girls Need Love%:%Summer Walker X Drake,0.656,0.432,6,-9.481,0,0.217,0.443,0,0.132,0.0897,97.022,audio_features,14SaZBTjxlorHJQxXh01Hu,spotify:track:14SaZBTjxlorHJQxXh01Hu,https://api.spotify.com/v1/tracks/14SaZBTjxlorHJQxXh01Hu,https://api.spotify.com/v1/audio-analysis/14SaZBTjxlorHJQxXh01Hu,222374,4,https://open.spotify.com/track/14SaZBTjxlorHJQxXh01Hu
Mother's Daughter%:%Miley Cyrus,0.681,0.865,1,-4.132,0,0.0594,0.00464,0.00169,0.149,0.528,91.017,audio_features,2WyRfGeHo97VC5mP1BBSzr,spotify:track:2WyRfGeHo97VC5mP1BBSzr,https://api.spotify.com/v1/tracks/2WyRfGeHo97VC5mP1BBSzr,https://api.spotify.com/v1/audio-analysis/2WyRfGeHo97VC5mP1BBSzr,219080,4,https://open.spotify.com/track/2WyRfGeHo97VC5mP1BBSzr
Ocean Eyes%:%Billie Eilish,0.511,0.363,4,-7.65,0,0.041,0.816,0.0317,0.084,0.169,144.892,audio_features,7hDVYcQq6MxkdJGweuCtl9,spotify:track:7hDVYcQq6MxkdJGweuCtl9,https://api.spotify.com/v1/tracks/7hDVYcQq6MxkdJGweuCtl9,https://api.spotify.com/v1/audio-analysis/7hDVYcQq6MxkdJGweuCtl9,200379,4,https://open.spotify.com/track/7hDVYcQq6MxkdJGweuCtl9
Don't Check On Me%:%Chris Brown Featuring Justin Bieber,0.661,0.395,7,-5.242,1,0.0333,0.873,0,0.112,0.679,82.028,audio_features,7ILEWkpfdK6AjH2D7jppWk,spotify:track:7ILEWkpfdK6AjH2D7jppWk,https://api.spotify.com/v1/tracks/7ILEWkpfdK6AjH2D7jppWk,https://api.spotify.com/v1/audio-analysis/7ILEWkpfdK6AjH2D7jppWk,204880,4,https://open.spotify.com/track/7ILEWkpfdK6AjH2D7jppWk
Homicide%:%Logic Featuring Eminem,0.694,0.759,10,-5.667,0,0.398,0.137,0,0.167,0.77,140.055,audio_features,7M2tXmeS15NAzEn7ABFeBg,spotify:track:7M2tXmeS15NAzEn7ABFeBg,https://api.spotify.com/v1/tracks/7M2tXmeS15NAzEn7ABFeBg,https://api.spotify.com/v1/audio-analysis/7M2tXmeS15NAzEn7ABFeBg,245387,4,https://open.spotify.com/track/7M2tXmeS15NAzEn7ABFeBg
Please Me%:%Cardi B,0.747,0.57,1,-6.711,1,0.081,0.0642,0,0.0832,0.65,133.992,audio_features,0PG9fbaaHFHfre2gUVo7AN,spotify:track:0PG9fbaaHFHfre2gUVo7AN,https://api.spotify.com/v1/tracks/0PG9fbaaHFHfre2gUVo7AN,https://api.spotify.com/v1/audio-analysis/0PG9fbaaHFHfre2gUVo7AN,200890,4,https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN
When I Grow Up%:%NF,0.817,0.814,2,-3.985,1,0.185,0.32,0,0.152,0.247,109.994,audio_features,5rLyYxZNzca00ENADO9m54,spotify:track:5rLyYxZNzca00ENADO9m54,https://api.spotify.com/v1/tracks/5rLyYxZNzca00ENADO9m54,https://api.spotify.com/v1/audio-analysis/5rLyYxZNzca00ENADO9m54,196800,4,https://open.spotify.com/track/5rLyYxZNzca00ENADO9m54
Eyes On You%:%Chase Rice,0.606,0.652,9,-6.982,1,0.0281,0.323,0,0.201,0.476,97.155,audio_features,5AnSllIrgGsCZzZJkVnApx,spotify:track:5AnSllIrgGsCZzZJkVnApx,https://api.spotify.com/v1/tracks/5AnSllIrgGsCZzZJkVnApx,https://api.spotify.com/v1/audio-analysis/5AnSllIrgGsCZzZJkVnApx,182493,4,https://open.spotify.com/track/5AnSllIrgGsCZzZJkVnApx
Bacc At It Again%:%Yella Beezy,0.95,0.624,8,-5.725,0,0.168,0.00126,1.23e-06,0.0715,0.86,135.985,audio_features,43eFpXbwWuBcXFkCmvaK76,spotify:track:43eFpXbwWuBcXFkCmvaK76,https://api.spotify.com/v1/tracks/43eFpXbwWuBcXFkCmvaK76,https://api.spotify.com/v1/audio-analysis/43eFpXbwWuBcXFkCmvaK76,228186,4,https://open.spotify.com/track/43eFpXbwWuBcXFkCmvaK76
"Break Up With Your Girlfriend, I'm Bored%:%Ariana Grande",0.726,0.554,5,-5.29,0,0.0917,0.0421,0,0.106,0.335,169.999,audio_features,4kV4N9D1iKVxx1KLvtTpjS,spotify:track:4kV4N9D1iKVxx1KLvtTpjS,https://api.spotify.com/v1/tracks/4kV4N9D1iKVxx1KLvtTpjS,https://api.spotify.com/v1/audio-analysis/4kV4N9D1iKVxx1KLvtTpjS,190440,4,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
Here With Me%:%Marshmello Featuring CHVRCHES,0.791,0.565,5,-3.933,0,0.0439,0.0623,0,0.156,0.181,99.961,audio_features,5icOoE6VgqFKohjWWNp0Ac,spotify:track:5icOoE6VgqFKohjWWNp0Ac,https://api.spotify.com/v1/tracks/5icOoE6VgqFKohjWWNp0Ac,https://api.spotify.com/v1/audio-analysis/5icOoE6VgqFKohjWWNp0Ac,156347,4,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
Love Someone%:%Brett Eldredge,0.423,0.813,9,-5.011,1,0.0507,0.218,1.62e-06,0.0732,0.421,173.995,audio_features,43CFDpciGFDm226POTLEXU,spotify:track:43CFDpciGFDm226POTLEXU,https://api.spotify.com/v1/tracks/43CFDpciGFDm226POTLEXU,https://api.spotify.com/v1/audio-analysis/43CFDpciGFDm226POTLEXU,211720,4,https://open.spotify.com/track/43CFDpciGFDm226POTLEXU
Big Ole Freak%:%Megan Thee Stallion,0.799,0.699,2,-7.694,1,0.204,0.00867,0,0.132,0.627,142.979,audio_features,3YEbLhXRDPTtctnb3ddg8g,spotify:track:3YEbLhXRDPTtctnb3ddg8g,https://api.spotify.com/v1/tracks/3YEbLhXRDPTtctnb3ddg8g,https://api.spotify.com/v1/audio-analysis/3YEbLhXRDPTtctnb3ddg8g,214851,4,https://open.spotify.com/track/3YEbLhXRDPTtctnb3ddg8g
