"hitness","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","sentiment","duration_min","log_popularity"
TRUE,0.803,0.648,"4",-9.185,"0",0.198,0.0288,0,0.0904,0.538,131.923,4,0.9958,3.6592,7.00760061395185
TRUE,0.931,0.387,"1",-9.127,"1",0.412,0.088,0,0.136,0.375,125.978,4,-0.9923,2.99008333333333,9.38134816886986
FALSE,0.647,0.823,"2",-4.074,"1",0.0478,0.0387,0,0.74,0.309,150.995,4,-0.9914,2.91341666666667,8.83710041116275
FALSE,0.603,0.67,"2",-4.809,"1",0.25,0.0871,0,0.326,0.159,89.842,4,-0.9811,3.20165,8.83710041116275
TRUE,0.767,0.543,"1",-7.881,"0",0.103,0.049,0,0.115,0.485,106.029,4,0.593,2.95233333333333,9.34084218004034
FALSE,0.682,0.639,"8",-4.406,"1",0.292,0.0284,0,0.197,0.183,89.09,4,-0.9851,3.97005,8.83710041116275
FALSE,0.781,0.487,"8",-8.823,"1",0.589,0.0335,0,0.163,0.344,95.879,4,0.9953,3.04538333333333,9.7091743828898
FALSE,0.793,0.395,"1",-5.578,"1",0.385,0.277,1.4e-05,0.109,0.129,77.027,4,0.9886,3.55478333333333,9.7091743828898
FALSE,0.488,0.803,"6",-4.165,"0",0.205,0.0786,0,0.215,0.319,167.329,4,-0.9975,4.36238333333333,8.83710041116275
FALSE,0.821,0.72,"10",-4.606,"0",0.222,0.00902,7.07e-06,0.158,0.285,150.039,4,-0.9973,3.08768333333333,9.80945156060953
FALSE,0.49,0.651,"8",-6.24,"1",0.251,0.246,0,0.233,0.46,164.213,4,0.9969,4.11321666666667,8.83710041116275
FALSE,0.766,0.703,"10",-5.877,"0",0.163,0.00807,0,0.0618,0.331,163.06,4,0.6341,2.80825,9.6431612100942
FALSE,0.821,0.694,"9",-5.169,"1",0.229,0.03,0,0.411,0.23,85.047,4,-0.9954,3.92105,9.79984777777637
FALSE,0.881,0.623,"1",-9.662,"1",0.119,0.257,1.5e-06,0.0964,0.745,88.953,4,-0.9734,2.15911666666667,6.82437367004309
FALSE,0.92,0.458,"5",-5.643,"0",0.315,0.0171,0,0.107,0.403,132.992,4,-0.9961,2.66258333333333,9.7091743828898
FALSE,0.609,0.836,"4",-3.442,"0",0.264,0.593,0,0.466,0.584,72.099,4,-0.9966,3.02123333333333,8.83710041116275
FALSE,0.733,0.63,"11",-4.296,"1",0.395,0.13,0,0.162,0.833,149.991,4,-0.9941,2.53333333333333,9.38134816886986
FALSE,0.672,0.565,"1",-6.504,"1",0.441,0.106,0,0.113,0.313,163.827,4,-0.9769,2.83043333333333,9.7091743828898
FALSE,0.888,0.432,"10",-9.275,"0",0.0934,0.0562,0,0.112,0.173,99.965,4,-0.9924,2.8831,9.7091743828898
TRUE,0.835,0.626,"1",-5.833,"1",0.125,0.0589,6e-05,0.396,0.35,91.03,4,-0.9758,3.63208333333333,11.6551365795861
TRUE,0.545,0.854,"4",-4.968,"0",0.0289,0.00244,1.2e-06,0.249,0.436,91.967,4,-0.4196,2.98311666666667,8.35042997353814
TRUE,0.963,0.346,"5",-9.309,"0",0.53,0.0355,0,0.108,0.562,119.957,4,-0.0752,2.37121666666667,11.6551365795861
TRUE,0.912,0.412,"7",-8.074,"1",0.123,0.0165,0.0126,0.104,0.423,154.983,4,0.2019,3.9769,11.6551365795861
TRUE,0.397,0.843,"10",-3.726,"0",0.0987,0.158,0,0.0844,0.22,81.201,4,0.9985,3.98901666666667,9.1573614471853
FALSE,0.755,0.615,"4",-8.245,"1",0.0454,0.00587,1.75e-06,0.109,0.039,105.955,4,-0.9992,3.5894,9.2299469016151
FALSE,0.64,0.321,"0",-14.604,"1",0.0931,0.693,0.0307,0.114,0.177,145.045,4,0.9861,3.50626666666667,9.00699944795815
FALSE,0.81,0.353,"6",-9.931,"0",0.31,0.588,0,0.102,0.0727,88.031,4,-0.6519,3.47155,9.79984777777637
FALSE,0.825,0.572,"6",-6.067,"0",0.0864,0.0079,0,0.113,0.568,141.991,4,-0.9977,2.93256666666667,9.46521512145185
TRUE,0.63,0.694,"11",-6.257,"0",0.0253,0.00281,0,0.0719,0.216,97.005,4,0.9978,3.25865,9.36082720525012
TRUE,0.434,0.831,"8",-4.774,"1",0.0453,0.0651,0,0.119,0.596,156.034,4,0.9881,3.09066666666667,7.82684209815829
FALSE,0.753,0.686,"1",-5.415,"0",0.284,0.0677,0,0.193,0.886,132.055,4,0.9531,3.24553333333333,11.6551365795861
FALSE,0.635,0.902,"0",-3.559,"1",0.109,0.172,0,0.125,0.285,102.062,4,0.3736,3.63036666666667,9.38134816886986
FALSE,0.565,0.855,"5",-4.189,"1",0.0557,0.0445,0,0.32,0.852,74.98,4,0.9892,3.48155,8.76639427704974
TRUE,0.807,0.153,"7",-14.343,"1",0.102,0.978,0.944,0.119,0.17,75.023,4,0.9986,3.51695,9.29422185595688
